names,showtimes,genre,recommendations
The Death of Stalin,"{'date': '4/19', 'time': '3:10 PM, 5:20, 7:30, 9:40 PM', 'days': 'Thu'}",Comedy,"[""Mother's Day (2016)"", 'Daniel Tosh: Completely Serious (2007)', 'Popstar: Never Stop Never Stopping (2016)', 'Mike & Dave Need Wedding Dates (2016)', 'The Gay Desperado (1936)']"
Isle of Dogs,"{'date': '4/19', 'time': '3:00 PM, 4:10, 5:10, 7:20, 8:30, 9:30, 10:35 PM', 'days': 'Thu'}",Animation,"['The Secret Life of Pets (2016)', 'Anomalisa (2015)', 'Hotel Transylvania 2 (2015)', 'World of Tomorrow (2015)', 'Piper (2016)']"
The Leisure Seeker,"{'date': '4/19', 'time': '1:50 PM, 6:15 PM', 'days': 'Thu'}",Drama,"['Tallulah (2016)', 'Nerve (2016)', 'Body (2015)', 'The Last Brickmaker in America (2001)', 'Stranger Things']"
Ready Player One,"{'date': '4/19', 'time': '1:30 PM, 4:15, 7:00, 9:45 PM', 'days': 'Thu'}",Fantasy,"['Troll Hunter, The (Trolljegeren) (2010)', 'Insidious (2010)', ""Eaux d'artifice (1953)"", 'Inauguration of the Pleasure Dome (1954)', 'Solace (2015)']"
Final Portrait,"{'date': '4/20, 4/23 - 4/26', 'time': '1:30 PM, 3:30, 5:30, 7:30, 9:25 PM', 'days': 'Fri, Mon - Thu'}",Drama,"['Tallulah (2016)', 'Nerve (2016)', 'Body (2015)', 'The Last Brickmaker in America (2001)', 'Stranger Things']"
You Were Never Really Here,"{'date': '4/20, 4/23 - 4/26', 'time': '2:15 PM, 4:10, 6:05, 8:00, 9:55 PM', 'days': 'Fri, Mon - Thu'}",Drama,"['Tallulah (2016)', 'Nerve (2016)', 'Body (2015)', 'The Last Brickmaker in America (2001)', 'Stranger Things']"
Avengers: Infinity War,"{'date': '4/26', 'time': '7:00 PM, 10:00 PM', 'days': 'Thu'}",Adventure,"['Goosebumps (2015)', 'Peanuts Movie, The (2015)', 'Ice Age: The Great Egg-Scapade (2016)', 'Finding Dory (2016)', 'Mohenjo Daro (2016)']"
Deadpool 2,"{'date': '5/17', 'time': '7:20 PM, 9:30 PM', 'days': 'Thu'}",Adventure,"['Goosebumps (2015)', 'Peanuts Movie, The (2015)', 'Ice Age: The Great Egg-Scapade (2016)', 'Finding Dory (2016)', 'Mohenjo Daro (2016)']"
